The container contains 10000 shapes:
Parallelepiped: a = 18  b = 15  c = 2, Volume = 540.0, Density = 11
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 23
Sphere: x = 23, Volume = 9125.25, Density = 13
Sphere: x = 6, Volume = 162.0, Density = 23
Sphere: x = 6, Volume = 162.0, Density = 0
Sphere: x = 9, Volume = 546.75, Density = 3
Tetrahedron: a = 0, Volume = 0.0, Density = 3
Parallelepiped: a = 23  b = 12  c = 6, Volume = 1656.0, Density = 7
Parallelepiped: a = 16  b = 23  c = 9, Volume = 3312.0, Density = 5
Parallelepiped: a = 3  b = 14  c = 5, Volume = 210.0, Density = 3
Parallelepiped: a = 5  b = 22  c = 18, Volume = 1980.0, Density = 7
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 6
Parallelepiped: a = 24  b = 0  c = 20, Volume = 0.0, Density = 12
Parallelepiped: a = 13  b = 5  c = 24, Volume = 1560.0, Density = 5
Parallelepiped: a = 0  b = 22  c = 11, Volume = 0.0, Density = 18
Sphere: x = 17, Volume = 3684.75, Density = 22
Parallelepiped: a = 8  b = 24  c = 24, Volume = 4608.0, Density = 3
Parallelepiped: a = 12  b = 21  c = 2, Volume = 504.0, Density = 7
Parallelepiped: a = 15  b = 19  c = 2, Volume = 570.0, Density = 2
Parallelepiped: a = 0  b = 21  c = 14, Volume = 0.0, Density = 19
Sphere: x = 13, Volume = 1647.75, Density = 4
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 22
Sphere: x = 24, Volume = 10368.0, Density = 24
Parallelepiped: a = 18  b = 22  c = 9, Volume = 3564.0, Density = 18
Parallelepiped: a = 8  b = 18  c = 17, Volume = 2448.0, Density = 6
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 7
Sphere: x = 0, Volume = 0.0, Density = 9
Sphere: x = 22, Volume = 7986.0, Density = 6
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 5
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 9
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 8
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 7
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 1
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 21
Parallelepiped: a = 3  b = 19  c = 9, Volume = 513.0, Density = 13
Parallelepiped: a = 5  b = 2  c = 23, Volume = 230.0, Density = 2
Parallelepiped: a = 16  b = 11  c = 2, Volume = 352.0, Density = 9
Tetrahedron: a = 0, Volume = 0.0, Density = 3
Sphere: x = 10, Volume = 750.0, Density = 19
Sphere: x = 17, Volume = 3684.75, Density = 4
Parallelepiped: a = 13  b = 1  c = 20, Volume = 260.0, Density = 10
Tetrahedron: a = 0, Volume = 0.0, Density = 17
Parallelepiped: a = 18  b = 12  c = 19, Volume = 4104.0, Density = 2
Sphere: x = 21, Volume = 6945.75, Density = 10
Sphere: x = 7, Volume = 257.25, Density = 21
Parallelepiped: a = 14  b = 7  c = 0, Volume = 0.0, Density = 9
Parallelepiped: a = 4  b = 12  c = 9, Volume = 432.0, Density = 22
Sphere: x = 4, Volume = 48.0, Density = 6
Parallelepiped: a = 20  b = 15  c = 5, Volume = 1500.0, Density = 2
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 15
Parallelepiped: a = 9  b = 20  c = 16, Volume = 2880.0, Density = 10
Parallelepiped: a = 0  b = 24  c = 13, Volume = 0.0, Density = 18
Sphere: x = 2, Volume = 6.0, Density = 11
Parallelepiped: a = 9  b = 23  c = 4, Volume = 828.0, Density = 0
Parallelepiped: a = 8  b = 24  c = 24, Volume = 4608.0, Density = 4
Sphere: x = 15, Volume = 2531.25, Density = 1
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 24
Sphere: x = 14, Volume = 2058.0, Density = 3
Sphere: x = 11, Volume = 998.25, Density = 21
Parallelepiped: a = 1  b = 20  c = 4, Volume = 80.0, Density = 24
Sphere: x = 12, Volume = 1296.0, Density = 14
Sphere: x = 12, Volume = 1296.0, Density = 15
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 15
Sphere: x = 23, Volume = 9125.25, Density = 20
Sphere: x = 2, Volume = 6.0, Density = 5
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 21
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 11
Parallelepiped: a = 14  b = 10  c = 6, Volume = 840.0, Density = 2
Parallelepiped: a = 13  b = 9  c = 20, Volume = 2340.0, Density = 10
Sphere: x = 0, Volume = 0.0, Density = 23
Parallelepiped: a = 8  b = 4  c = 12, Volume = 384.0, Density = 16
Sphere: x = 3, Volume = 20.25, Density = 11
Parallelepiped: a = 4  b = 14  c = 11, Volume = 616.0, Density = 18
Sphere: x = 13, Volume = 1647.75, Density = 12
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 19
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 0
Sphere: x = 2, Volume = 6.0, Density = 16
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 0
Sphere: x = 17, Volume = 3684.75, Density = 0
Parallelepiped: a = 2  b = 8  c = 7, Volume = 112.0, Density = 18
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 20
Parallelepiped: a = 19  b = 23  c = 18, Volume = 7866.0, Density = 15
Parallelepiped: a = 7  b = 20  c = 10, Volume = 1400.0, Density = 10
Parallelepiped: a = 4  b = 7  c = 9, Volume = 252.0, Density = 16
Parallelepiped: a = 2  b = 2  c = 11, Volume = 44.0, Density = 12
Parallelepiped: a = 23  b = 4  c = 20, Volume = 1840.0, Density = 5
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 14
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 9
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 2
Sphere: x = 10, Volume = 750.0, Density = 21
Sphere: x = 5, Volume = 93.75, Density = 8
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 0
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 8
Parallelepiped: a = 24  b = 16  c = 16, Volume = 6144.0, Density = 20
Sphere: x = 21, Volume = 6945.75, Density = 21
Parallelepiped: a = 1  b = 13  c = 0, Volume = 0.0, Density = 22
Sphere: x = 13, Volume = 1647.75, Density = 0
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 2
Sphere: x = 6, Volume = 162.0, Density = 0
Parallelepiped: a = 9  b = 11  c = 13, Volume = 1287.0, Density = 9
Parallelepiped: a = 12  b = 15  c = 19, Volume = 3420.0, Density = 23
Sphere: x = 3, Volume = 20.25, Density = 8
Sphere: x = 2, Volume = 6.0, Density = 1
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 2
Tetrahedron: a = 0, Volume = 0.0, Density = 16
Sphere: x = 16, Volume = 3072.0, Density = 16
Sphere: x = 12, Volume = 1296.0, Density = 18
Sphere: x = 20, Volume = 6000.0, Density = 18
Sphere: x = 8, Volume = 384.0, Density = 4
Sphere: x = 20, Volume = 6000.0, Density = 16
Parallelepiped: a = 2  b = 0  c = 12, Volume = 0.0, Density = 10
Parallelepiped: a = 8  b = 1  c = 20, Volume = 160.0, Density = 6
Sphere: x = 9, Volume = 546.75, Density = 4
Sphere: x = 11, Volume = 998.25, Density = 20
Sphere: x = 2, Volume = 6.0, Density = 13
Sphere: x = 16, Volume = 3072.0, Density = 8
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 3
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 8
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 24
Parallelepiped: a = 15  b = 20  c = 9, Volume = 2700.0, Density = 11
Sphere: x = 12, Volume = 1296.0, Density = 1
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 11
Parallelepiped: a = 11  b = 9  c = 2, Volume = 198.0, Density = 22
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 24
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 9
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 13
Parallelepiped: a = 24  b = 10  c = 19, Volume = 4560.0, Density = 23
Parallelepiped: a = 0  b = 23  c = 10, Volume = 0.0, Density = 3
Sphere: x = 4, Volume = 48.0, Density = 7
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 15
Sphere: x = 15, Volume = 2531.25, Density = 5
Parallelepiped: a = 16  b = 19  c = 1, Volume = 304.0, Density = 16
Sphere: x = 2, Volume = 6.0, Density = 15
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 3
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 8
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 18
Parallelepiped: a = 24  b = 8  c = 0, Volume = 0.0, Density = 23
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 17
Parallelepiped: a = 15  b = 8  c = 22, Volume = 2640.0, Density = 8
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 0
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 21
Parallelepiped: a = 16  b = 9  c = 2, Volume = 288.0, Density = 11
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 9
Parallelepiped: a = 14  b = 24  c = 20, Volume = 6720.0, Density = 4
Sphere: x = 0, Volume = 0.0, Density = 24
Parallelepiped: a = 21  b = 0  c = 17, Volume = 0.0, Density = 2
Sphere: x = 4, Volume = 48.0, Density = 22
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 12
Parallelepiped: a = 11  b = 2  c = 4, Volume = 88.0, Density = 2
Sphere: x = 23, Volume = 9125.25, Density = 4
Sphere: x = 9, Volume = 546.75, Density = 24
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 9
Sphere: x = 5, Volume = 93.75, Density = 10
Parallelepiped: a = 14  b = 24  c = 7, Volume = 2352.0, Density = 10
Sphere: x = 12, Volume = 1296.0, Density = 1
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 24
Parallelepiped: a = 15  b = 1  c = 1, Volume = 15.0, Density = 11
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 4
Parallelepiped: a = 9  b = 9  c = 2, Volume = 162.0, Density = 8
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 22
Sphere: x = 6, Volume = 162.0, Density = 5
Sphere: x = 18, Volume = 4374.0, Density = 10
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 11
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 13
Parallelepiped: a = 0  b = 1  c = 15, Volume = 0.0, Density = 12
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 2
Parallelepiped: a = 17  b = 24  c = 19, Volume = 7752.0, Density = 6
Parallelepiped: a = 5  b = 10  c = 3, Volume = 150.0, Density = 8
Parallelepiped: a = 23  b = 7  c = 11, Volume = 1771.0, Density = 14
Sphere: x = 18, Volume = 4374.0, Density = 0
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 9
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 6
Sphere: x = 18, Volume = 4374.0, Density = 24
Sphere: x = 20, Volume = 6000.0, Density = 18
Sphere: x = 4, Volume = 48.0, Density = 19
Parallelepiped: a = 2  b = 1  c = 23, Volume = 46.0, Density = 19
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 13
Parallelepiped: a = 2  b = 9  c = 23, Volume = 414.0, Density = 2
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 9
Parallelepiped: a = 2  b = 9  c = 9, Volume = 162.0, Density = 19
Sphere: x = 1, Volume = 0.75, Density = 22
Sphere: x = 21, Volume = 6945.75, Density = 13
Sphere: x = 16, Volume = 3072.0, Density = 21
Sphere: x = 12, Volume = 1296.0, Density = 0
Sphere: x = 14, Volume = 2058.0, Density = 1
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 14
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 18
Parallelepiped: a = 17  b = 21  c = 22, Volume = 7854.0, Density = 20
Parallelepiped: a = 19  b = 16  c = 2, Volume = 608.0, Density = 17
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 15
Parallelepiped: a = 1  b = 13  c = 19, Volume = 247.0, Density = 5
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 11
Sphere: x = 5, Volume = 93.75, Density = 5
Sphere: x = 22, Volume = 7986.0, Density = 2
Sphere: x = 15, Volume = 2531.25, Density = 2
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 14
Sphere: x = 5, Volume = 93.75, Density = 10
Parallelepiped: a = 21  b = 16  c = 9, Volume = 3024.0, Density = 2
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 7
Sphere: x = 16, Volume = 3072.0, Density = 12
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 16
Parallelepiped: a = 0  b = 17  c = 7, Volume = 0.0, Density = 20
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 21
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 24
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 13
Sphere: x = 12, Volume = 1296.0, Density = 23
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 2
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 23
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 20
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 13
Parallelepiped: a = 4  b = 6  c = 11, Volume = 264.0, Density = 20
Parallelepiped: a = 8  b = 1  c = 4, Volume = 32.0, Density = 9
Sphere: x = 0, Volume = 0.0, Density = 2
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 17
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 17
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 19
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 20
Parallelepiped: a = 5  b = 8  c = 6, Volume = 240.0, Density = 17
Sphere: x = 2, Volume = 6.0, Density = 22
Sphere: x = 7, Volume = 257.25, Density = 5
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 14
Sphere: x = 14, Volume = 2058.0, Density = 0
Sphere: x = 8, Volume = 384.0, Density = 0
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 10
Sphere: x = 14, Volume = 2058.0, Density = 7
Parallelepiped: a = 11  b = 5  c = 21, Volume = 1155.0, Density = 3
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 24
Parallelepiped: a = 9  b = 19  c = 1, Volume = 171.0, Density = 6
Sphere: x = 18, Volume = 4374.0, Density = 24
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 16
Sphere: x = 23, Volume = 9125.25, Density = 16
Sphere: x = 6, Volume = 162.0, Density = 18
Sphere: x = 14, Volume = 2058.0, Density = 5
Parallelepiped: a = 17  b = 9  c = 6, Volume = 918.0, Density = 12
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 17
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 16
Parallelepiped: a = 7  b = 9  c = 2, Volume = 126.0, Density = 23
Tetrahedron: a = 0, Volume = 0.0, Density = 10
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 3
Sphere: x = 6, Volume = 162.0, Density = 19
Parallelepiped: a = 20  b = 7  c = 14, Volume = 1960.0, Density = 15
Sphere: x = 10, Volume = 750.0, Density = 6
Parallelepiped: a = 8  b = 14  c = 4, Volume = 448.0, Density = 16
Sphere: x = 24, Volume = 10368.0, Density = 7
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 22
Sphere: x = 6, Volume = 162.0, Density = 6
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 19
Sphere: x = 17, Volume = 3684.75, Density = 22
Sphere: x = 0, Volume = 0.0, Density = 19
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 11
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 8
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 20
Sphere: x = 20, Volume = 6000.0, Density = 0
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 10
Parallelepiped: a = 10  b = 1  c = 2, Volume = 20.0, Density = 21
Tetrahedron: a = 0, Volume = 0.0, Density = 10
Parallelepiped: a = 12  b = 4  c = 11, Volume = 528.0, Density = 18
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 0
Parallelepiped: a = 22  b = 6  c = 5, Volume = 660.0, Density = 13
Sphere: x = 17, Volume = 3684.75, Density = 10
Parallelepiped: a = 9  b = 4  c = 19, Volume = 684.0, Density = 4
Parallelepiped: a = 12  b = 3  c = 13, Volume = 468.0, Density = 7
Sphere: x = 23, Volume = 9125.25, Density = 13
Parallelepiped: a = 3  b = 20  c = 3, Volume = 180.0, Density = 15
Tetrahedron: a = 0, Volume = 0.0, Density = 7
Parallelepiped: a = 2  b = 0  c = 8, Volume = 0.0, Density = 22
Parallelepiped: a = 17  b = 1  c = 3, Volume = 51.0, Density = 22
Sphere: x = 11, Volume = 998.25, Density = 6
Sphere: x = 18, Volume = 4374.0, Density = 17
Parallelepiped: a = 21  b = 11  c = 21, Volume = 4851.0, Density = 5
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 9
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 14
Sphere: x = 2, Volume = 6.0, Density = 24
Tetrahedron: a = 0, Volume = 0.0, Density = 11
Sphere: x = 2, Volume = 6.0, Density = 11
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 11
Parallelepiped: a = 18  b = 17  c = 18, Volume = 5508.0, Density = 5
Sphere: x = 11, Volume = 998.25, Density = 11
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 16
Sphere: x = 21, Volume = 6945.75, Density = 14
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 12
Sphere: x = 5, Volume = 93.75, Density = 7
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 12
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 12
Parallelepiped: a = 24  b = 9  c = 16, Volume = 3456.0, Density = 16
Sphere: x = 18, Volume = 4374.0, Density = 16
Sphere: x = 1, Volume = 0.75, Density = 9
Sphere: x = 11, Volume = 998.25, Density = 21
Sphere: x = 8, Volume = 384.0, Density = 5
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 1
Parallelepiped: a = 9  b = 11  c = 11, Volume = 1089.0, Density = 1
Parallelepiped: a = 12  b = 19  c = 22, Volume = 5016.0, Density = 23
Parallelepiped: a = 3  b = 22  c = 4, Volume = 264.0, Density = 17
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 24
Parallelepiped: a = 2  b = 2  c = 4, Volume = 16.0, Density = 20
Parallelepiped: a = 23  b = 7  c = 0, Volume = 0.0, Density = 15
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 11
Sphere: x = 5, Volume = 93.75, Density = 12
Parallelepiped: a = 23  b = 3  c = 15, Volume = 1035.0, Density = 23
Sphere: x = 4, Volume = 48.0, Density = 18
Sphere: x = 1, Volume = 0.75, Density = 24
Parallelepiped: a = 5  b = 4  c = 0, Volume = 0.0, Density = 4
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 10
Parallelepiped: a = 19  b = 1  c = 24, Volume = 456.0, Density = 12
Sphere: x = 7, Volume = 257.25, Density = 15
Sphere: x = 22, Volume = 7986.0, Density = 9
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 14
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 19
Parallelepiped: a = 13  b = 4  c = 22, Volume = 1144.0, Density = 14
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 13
Sphere: x = 0, Volume = 0.0, Density = 17
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 4
Sphere: x = 8, Volume = 384.0, Density = 16
Parallelepiped: a = 20  b = 17  c = 8, Volume = 2720.0, Density = 13
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 3
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 19
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 13
Parallelepiped: a = 18  b = 14  c = 10, Volume = 2520.0, Density = 5
Parallelepiped: a = 24  b = 13  c = 13, Volume = 4056.0, Density = 4
Parallelepiped: a = 13  b = 22  c = 3, Volume = 858.0, Density = 12
Parallelepiped: a = 16  b = 10  c = 14, Volume = 2240.0, Density = 8
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 7
Sphere: x = 17, Volume = 3684.75, Density = 2
Parallelepiped: a = 4  b = 21  c = 4, Volume = 336.0, Density = 19
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 1
Sphere: x = 2, Volume = 6.0, Density = 19
Parallelepiped: a = 23  b = 8  c = 17, Volume = 3128.0, Density = 10
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 12
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 9
Sphere: x = 22, Volume = 7986.0, Density = 21
Sphere: x = 18, Volume = 4374.0, Density = 3
Parallelepiped: a = 1  b = 11  c = 10, Volume = 110.0, Density = 7
Sphere: x = 8, Volume = 384.0, Density = 9
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 10
Sphere: x = 3, Volume = 20.25, Density = 7
Parallelepiped: a = 17  b = 3  c = 20, Volume = 1020.0, Density = 17
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 17
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 3
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 24
Sphere: x = 16, Volume = 3072.0, Density = 2
Parallelepiped: a = 13  b = 0  c = 3, Volume = 0.0, Density = 10
Sphere: x = 21, Volume = 6945.75, Density = 10
Sphere: x = 23, Volume = 9125.25, Density = 22
Sphere: x = 3, Volume = 20.25, Density = 6
Parallelepiped: a = 18  b = 6  c = 24, Volume = 2592.0, Density = 23
Parallelepiped: a = 3  b = 5  c = 10, Volume = 150.0, Density = 0
Parallelepiped: a = 23  b = 9  c = 2, Volume = 414.0, Density = 17
Parallelepiped: a = 3  b = 17  c = 12, Volume = 612.0, Density = 0
Sphere: x = 22, Volume = 7986.0, Density = 7
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 4
Sphere: x = 3, Volume = 20.25, Density = 4
Sphere: x = 6, Volume = 162.0, Density = 7
Parallelepiped: a = 13  b = 24  c = 15, Volume = 4680.0, Density = 8
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 9
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 20
Parallelepiped: a = 6  b = 3  c = 13, Volume = 234.0, Density = 4
Sphere: x = 11, Volume = 998.25, Density = 20
Sphere: x = 8, Volume = 384.0, Density = 3
Parallelepiped: a = 15  b = 15  c = 4, Volume = 900.0, Density = 9
Sphere: x = 22, Volume = 7986.0, Density = 18
Sphere: x = 8, Volume = 384.0, Density = 24
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 0
Parallelepiped: a = 7  b = 15  c = 19, Volume = 1995.0, Density = 10
Sphere: x = 14, Volume = 2058.0, Density = 14
Parallelepiped: a = 15  b = 24  c = 20, Volume = 7200.0, Density = 17
Sphere: x = 20, Volume = 6000.0, Density = 16
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 7
Sphere: x = 21, Volume = 6945.75, Density = 22
Sphere: x = 20, Volume = 6000.0, Density = 17
Parallelepiped: a = 19  b = 7  c = 3, Volume = 399.0, Density = 19
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 6
Sphere: x = 16, Volume = 3072.0, Density = 23
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 12
Parallelepiped: a = 20  b = 5  c = 2, Volume = 200.0, Density = 5
Parallelepiped: a = 5  b = 6  c = 17, Volume = 510.0, Density = 23
Parallelepiped: a = 15  b = 19  c = 4, Volume = 1140.0, Density = 7
Sphere: x = 19, Volume = 5144.25, Density = 16
Sphere: x = 1, Volume = 0.75, Density = 20
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 24
Sphere: x = 8, Volume = 384.0, Density = 20
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 3
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 9
Parallelepiped: a = 14  b = 7  c = 24, Volume = 2352.0, Density = 16
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 15
Sphere: x = 0, Volume = 0.0, Density = 22
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 15
Sphere: x = 14, Volume = 2058.0, Density = 9
Parallelepiped: a = 22  b = 23  c = 1, Volume = 506.0, Density = 12
Sphere: x = 7, Volume = 257.25, Density = 20
Sphere: x = 2, Volume = 6.0, Density = 24
Sphere: x = 5, Volume = 93.75, Density = 10
Parallelepiped: a = 17  b = 1  c = 6, Volume = 102.0, Density = 1
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 18
Sphere: x = 13, Volume = 1647.75, Density = 16
Sphere: x = 11, Volume = 998.25, Density = 6
Parallelepiped: a = 4  b = 3  c = 0, Volume = 0.0, Density = 17
Sphere: x = 3, Volume = 20.25, Density = 1
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 21
Sphere: x = 13, Volume = 1647.75, Density = 22
Sphere: x = 20, Volume = 6000.0, Density = 9
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 10
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 4
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 17
Parallelepiped: a = 19  b = 0  c = 18, Volume = 0.0, Density = 7
Sphere: x = 21, Volume = 6945.75, Density = 17
Tetrahedron: a = 0, Volume = 0.0, Density = 22
Sphere: x = 2, Volume = 6.0, Density = 2
Sphere: x = 12, Volume = 1296.0, Density = 13
Parallelepiped: a = 23  b = 10  c = 23, Volume = 5290.0, Density = 3
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 23
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 4
Sphere: x = 23, Volume = 9125.25, Density = 22
Parallelepiped: a = 0  b = 4  c = 18, Volume = 0.0, Density = 4
Sphere: x = 22, Volume = 7986.0, Density = 23
Sphere: x = 24, Volume = 10368.0, Density = 20
Sphere: x = 3, Volume = 20.25, Density = 23
Sphere: x = 17, Volume = 3684.75, Density = 13
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 16
Sphere: x = 17, Volume = 3684.75, Density = 16
Sphere: x = 3, Volume = 20.25, Density = 19
Parallelepiped: a = 24  b = 21  c = 14, Volume = 7056.0, Density = 1
Sphere: x = 19, Volume = 5144.25, Density = 3
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 3
Sphere: x = 7, Volume = 257.25, Density = 2
Sphere: x = 10, Volume = 750.0, Density = 1
Parallelepiped: a = 21  b = 10  c = 15, Volume = 3150.0, Density = 4
Parallelepiped: a = 19  b = 19  c = 12, Volume = 4332.0, Density = 1
Parallelepiped: a = 16  b = 9  c = 13, Volume = 1872.0, Density = 14
Sphere: x = 12, Volume = 1296.0, Density = 1
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 23
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 24
Parallelepiped: a = 22  b = 7  c = 0, Volume = 0.0, Density = 0
Sphere: x = 21, Volume = 6945.75, Density = 17
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 9
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 11
Sphere: x = 3, Volume = 20.25, Density = 5
Parallelepiped: a = 13  b = 9  c = 19, Volume = 2223.0, Density = 22
Sphere: x = 2, Volume = 6.0, Density = 12
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 10
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 11
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 12
Parallelepiped: a = 8  b = 14  c = 22, Volume = 2464.0, Density = 11
